Total cost (€);T_MAX;F_MAX;N_PANEL;N_BSS;% postponed;% loss
81.06754984;20;0.2;200;10;12.71541045;18.43392119
82.57391841;20;0.4;200;10;26.09177767;15.02059453
83.53044247;5;0.2;200;10;13.41400814;15.37673554
84.7926442;5;0.4;200;10;26.11917932;16.81969161
92.8457852;5;0.2;200;15;13.23308588;2.652500232
99.22182503;20;0.2;200;15;12.38008444;2.590641006
103.4437902;20;0.2;100;10;11.7778354;14.33290949
103.5216878;20;0.4;100;10;17.54635861;14.17193846
104.0931419;5;0.2;100;10;10.48801382;16.19835159
106.4796715;5;0.4;100;10;13.26733104;17.98024664
108.1123924;5;0.4;200;15;24.84474594;3.416571895
115.3397032;20;0.4;200;15;25.43268895;4.106207957
123.834369;20;0.2;100;15;9.492687325;5.034067663
124.0217816;5;0.4;100;15;10.04960884;2.671834174
130.5196271;20;0.4;100;15;12.95577755;3.455516522
134.2743986;5;0.2;100;15;4.871368827;2.874708234
